DNS Performance Testing Tool
Version 2.14.0

[Status] Command line: dnsperf -s 10.2.0.2 -d /var/lib/mq-cake/dns/queries.txt -c 20 -l 10 -v -S 1 -W
[Status] Sending queries (to 10.2.0.2:53)
> NOERROR host0377.test.local A 0.057632
> NOERROR host0378.test.local A 0.056821
> NOERROR host0363.test.local A 0.064906
> NOERROR host0354.test.local A 0.067844
> NOERROR host0360.test.local A 0.066154
> NOERROR host0375.test.local A 0.059896
> NOERROR host0384.test.local A 0.054862
> NOERROR host0371.test.local A 0.063894
> NOERROR host0381.test.local A 0.058198
> NOERROR host0382.test.local A 0.058681
> NOERROR host0369.test.local A 0.065647
> NOERROR host0383.test.local A 0.059116
> NOERROR host0379.test.local A 0.061773
> NOERROR host0387.test.local A 0.057798
> NOERROR host0370.test.local A 0.068496
> NOERROR host0386.test.local A 0.059701
> NOERROR host0401.test.local A 0.053685
> NOERROR host0393.test.local A 0.057804
> NOERROR host0402.test.local A 0.052663
> NOERROR host0391.test.local A 0.058770
> NOERROR host0392.test.local A 0.060143
> NOERROR host0388.test.local A 0.062808
> NOERROR host0398.test.local A 0.058518
> NOERROR host0399.test.local A 0.058807
> NOERROR host0389.test.local A 0.063531
> NOERROR host0404.test.local A 0.056749
> NOERROR host0385.test.local A 0.066460
> NOERROR host0397.test.local A 0.060247
> NOERROR host0394.test.local A 0.062802
> NOERROR host0390.test.local A 0.067429
> NOERROR host0400.test.local A 0.063171
> NOERROR host0396.test.local A 0.064238
> NOERROR host0408.test.local A 0.058366
> NOERROR host0412.test.local A 0.056585
> NOERROR host0411.test.local A 0.057192
> NOERROR host0395.test.local A 0.065612
> NOERROR host0403.test.local A 0.061837
> NOERROR host0406.test.local A 0.059886
> NOERROR host0407.test.local A 0.060349
> NOERROR host0409.test.local A 0.059208
> NOERROR host0405.test.local A 0.064059
> NOERROR host0410.test.local A 0.061367
> NOERROR host0415.test.local A 0.058872
> NOERROR host0425.test.local A 0.053543
> NOERROR host0413.test.local A 0.059035
> NOERROR host0414.test.local A 0.059198
> NOERROR host0417.test.local A 0.058577
> NOERROR host0416.test.local A 0.061423
> NOERROR host0420.test.local A 0.059316
> NOERROR host0424.test.local A 0.059429
> NOERROR host0431.test.local A 0.051130
> NOERROR host0419.test.local A 0.061335
> NOERROR host0428.test.local A 0.053972
> NOERROR host0421.test.local A 0.061997
> NOERROR host0418.test.local A 0.063778
> NOERROR host0426.test.local A 0.061989
> NOERROR host0422.test.local A 0.065148
> NOERROR host0423.test.local A 0.065453
> NOERROR host0436.test.local A 0.054990
> NOERROR host0429.test.local A 0.060812
> NOERROR host0454.test.local A 0.047843
> NOERROR host0435.test.local A 0.058523
> NOERROR host0437.test.local A 0.057944
> NOERROR host0430.test.local A 0.062130
> NOERROR host0427.test.local A 0.063710
> NOERROR host0433.test.local A 0.061268
> NOERROR host0445.test.local A 0.055622
> NOERROR host0439.test.local A 0.060465
> NOERROR host0432.test.local A 0.064776
> NOERROR host0434.test.local A 0.064826
> NOERROR host0449.test.local A 0.058703
> NOERROR host0441.test.local A 0.061291
> NOERROR host0443.test.local A 0.060665
> NOERROR host0448.test.local A 0.060281
> NOERROR host0457.test.local A 0.055440
> NOERROR host0446.test.local A 0.061203
> NOERROR host0455.test.local A 0.056747
> NOERROR host0453.test.local A 0.057519
> NOERROR host0442.test.local A 0.063080
> NOERROR host0438.test.local A 0.066511
> NOERROR host0450.test.local A 0.061699
> NOERROR host0451.test.local A 0.058590
> NOERROR host0461.test.local A 0.054910
> NOERROR host0444.test.local A 0.064006
> NOERROR host0456.test.local A 0.058087
> NOERROR host0440.test.local A 0.068862
> NOERROR host0447.test.local A 0.067158
> NOERROR host0458.test.local A 0.061813
> NOERROR host0465.test.local A 0.058311
> NOERROR host0475.test.local A 0.053963
> NOERROR host0466.test.local A 0.057710
> NOERROR host0452.test.local A 0.066993
> NOERROR host0478.test.local A 0.054783
> NOERROR host0463.test.local A 0.062742
> NOERROR host0471.test.local A 0.059978
> NOERROR host0462.test.local A 0.065043
> NOERROR host0459.test.local A 0.066775
> NOERROR host0467.test.local A 0.062295
> NOERROR host0481.test.local A 0.056132
> NOERROR host0470.test.local A 0.061082
> NOERROR host0464.test.local A 0.065663
> NOERROR host0480.test.local A 0.058480
> NOERROR host0473.test.local A 0.062281
> NOERROR host0477.test.local A 0.060562
> NOERROR host0472.test.local A 0.062753
> NOERROR host0476.test.local A 0.062144
> NOERROR host0460.test.local A 0.068779
> NOERROR host0484.test.local A 0.057244
> NOERROR host0474.test.local A 0.062903
> NOERROR host0468.test.local A 0.065969
> NOERROR host0492.test.local A 0.052717
> NOERROR host0483.test.local A 0.059044
> NOERROR host0469.test.local A 0.066872
> NOERROR host0485.test.local A 0.057773
> NOERROR host0479.test.local A 0.062821
> NOERROR host0482.test.local A 0.061788
> NOERROR host0490.test.local A 0.058911
> NOERROR host0494.test.local A 0.056192
> NOERROR host0498.test.local A 0.057420
> NOERROR host0495.test.local A 0.058243
> NOERROR host0487.test.local A 0.063963
> NOERROR host0488.test.local A 0.062607
> NOERROR host0497.test.local A 0.058762
> NOERROR host0504.test.local A 0.054879
> NOERROR host0496.test.local A 0.060167
> NOERROR host0493.test.local A 0.062032
> NOERROR host0486.test.local A 0.067445
> NOERROR host0489.test.local A 0.066366
> NOERROR host0503.test.local A 0.058433
> NOERROR host0501.test.local A 0.060067
> NOERROR host0491.test.local A 0.066293
> NOERROR host0506.test.local A 0.061076
> NOERROR host0499.test.local A 0.065121
> NOERROR host0507.test.local A 0.062002
> NOERROR host0505.test.local A 0.062934
> NOERROR host0512.test.local A 0.059719
> NOERROR host0509.test.local A 0.063115
> NOERROR host0502.test.local A 0.065893
> NOERROR host0508.test.local A 0.064367
> NOERROR host0519.test.local A 0.055183
> NOERROR host0500.test.local A 0.067009
> NOERROR host0520.test.local A 0.054703
> NOERROR host0522.test.local A 0.055787
> NOERROR host0511.test.local A 0.064203
> NOERROR host0510.test.local A 0.064375
> NOERROR host0515.test.local A 0.061121
> NOERROR host0513.test.local A 0.062237
> NOERROR host0517.test.local A 0.062230
> NOERROR host0516.test.local A 0.064780
> NOERROR host0521.test.local A 0.061572
> NOERROR host0527.test.local A 0.056192
> NOERROR host0514.test.local A 0.066959
> NOERROR host0525.test.local A 0.059943
> NOERROR host0518.test.local A 0.066700
> NOERROR host0523.test.local A 0.065579
> NOERROR host0537.test.local A 0.054075
> NOERROR host0524.test.local A 0.064937
> NOERROR host0532.test.local A 0.058024
> NOERROR host0530.test.local A 0.060517
> NOERROR host0536.test.local A 0.058099
> NOERROR host0528.test.local A 0.063198
> NOERROR host0526.test.local A 0.064978
> NOERROR host0531.test.local A 0.060845
> NOERROR host0540.test.local A 0.056834
> NOERROR host0541.test.local A 0.056698
> NOERROR host0553.test.local A 0.053266
> NOERROR host0535.test.local A 0.062501
> NOERROR host0538.test.local A 0.059924
> NOERROR host0533.test.local A 0.063275
> NOERROR host0542.test.local A 0.056735
> NOERROR host0529.test.local A 0.068254
> NOERROR host0552.test.local A 0.056052
> NOERROR host0534.test.local A 0.065614
> NOERROR host0544.test.local A 0.058407
> NOERROR host0547.test.local A 0.059959
> NOERROR host0549.test.local A 0.060515
> NOERROR host0556.test.local A 0.057814
> NOERROR host0545.test.local A 0.062795
> NOERROR host0557.test.local A 0.056052
> NOERROR host0551.test.local A 0.061716
> NOERROR host0543.test.local A 0.063428
> NOERROR host0558.test.local A 0.056648
> NOERROR host0562.test.local A 0.055681
> NOERROR host0560.test.local A 0.059337
> NOERROR host0539.test.local A 0.068725
> NOERROR host0554.test.local A 0.062221
> NOERROR host0550.test.local A 0.065947
> NOERROR host0548.test.local A 0.066694
> NOERROR host0555.test.local A 0.064781
> NOERROR host0561.test.local A 0.061687
> NOERROR host0546.test.local A 0.070255
> NOERROR host0568.test.local A 0.058228
> NOERROR host0571.test.local A 0.057250
> NOERROR host0579.test.local A 0.056044
> NOERROR host0564.test.local A 0.061964
> NOERROR host0569.test.local A 0.060391
> NOERROR host0576.test.local A 0.057448
> NOERROR host0573.test.local A 0.058228
> NOERROR host0575.test.local A 0.058194
> NOERROR host0563.test.local A 0.063480
> NOERROR host0580.test.local A 0.057609
> NOERROR host0577.test.local A 0.059300
> NOERROR host0581.test.local A 0.058506
> NOERROR host0570.test.local A 0.062929
> NOERROR host0559.test.local A 0.069236
> NOERROR host0572.test.local A 0.062071
> NOERROR host0578.test.local A 0.060788
> NOERROR host0583.test.local A 0.059355
> NOERROR host0574.test.local A 0.062395
> NOERROR host0567.test.local A 0.065198
> NOERROR host0584.test.local A 0.061278
> NOERROR host0587.test.local A 0.058577
> NOERROR host0565.test.local A 0.067903
> NOERROR host0566.test.local A 0.068050
> NOERROR host0585.test.local A 0.064448
> NOERROR host0586.test.local A 0.061735
> NOERROR host0588.test.local A 0.062619
> NOERROR host0596.test.local A 0.057685
> NOERROR host0598.test.local A 0.056186
> NOERROR host0599.test.local A 0.056324
> NOERROR host0592.test.local A 0.061661
> NOERROR host0600.test.local A 0.056250
> NOERROR host0582.test.local A 0.069667
> NOERROR host0601.test.local A 0.056688
> NOERROR host0594.test.local A 0.060772
> NOERROR host0590.test.local A 0.063676
> NOERROR host0595.test.local A 0.062911
> NOERROR host0604.test.local A 0.056652
> NOERROR host0597.test.local A 0.062235
> NOERROR host0610.test.local A 0.054299
> NOERROR host0591.test.local A 0.067557
> NOERROR host0589.test.local A 0.068323
> NOERROR host0612.test.local A 0.055380
> NOERROR host0608.test.local A 0.057069
> NOERROR host0607.test.local A 0.059275
> NOERROR host0593.test.local A 0.069454
> NOERROR host0611.test.local A 0.058308
> NOERROR host0605.test.local A 0.061325
> NOERROR host0603.test.local A 0.061946
> NOERROR host0613.test.local A 0.057924
> NOERROR host0615.test.local A 0.061722
> NOERROR host0618.test.local A 0.060905
> NOERROR host0602.test.local A 0.070238
> NOERROR host0606.test.local A 0.070015
> NOERROR host0621.test.local A 0.059559
> NOERROR host0616.test.local A 0.066412
> NOERROR host0614.test.local A 0.067038
> NOERROR host0617.test.local A 0.065620
> NOERROR host0609.test.local A 0.070433
> NOERROR host0619.test.local A 0.064227
> NOERROR host0622.test.local A 0.062658
> NOERROR host0623.test.local A 0.062849
> NOERROR host0620.test.local A 0.064369
> NOERROR host0625.test.local A 0.060819
> NOERROR host0630.test.local A 0.060418
> NOERROR host0629.test.local A 0.061722
> NOERROR host0637.test.local A 0.057147
> NOERROR host0624.test.local A 0.065524
> NOERROR host0644.test.local A 0.055483
> NOERROR host0639.test.local A 0.058590
> NOERROR host0627.test.local A 0.064963
> NOERROR host0634.test.local A 0.060231
> NOERROR host0631.test.local A 0.064490
> NOERROR host0632.test.local A 0.063604
> NOERROR host0633.test.local A 0.063892
> NOERROR host0643.test.local A 0.058961
> NOERROR host0626.test.local A 0.068272
> NOERROR host0641.test.local A 0.060384
> NOERROR host0642.test.local A 0.060073
> NOERROR host0628.test.local A 0.068104
> NOERROR host0640.test.local A 0.062050
> NOERROR host0653.test.local A 0.054265
> NOERROR host0638.test.local A 0.064930
> NOERROR host0645.test.local A 0.059726
> NOERROR host0636.test.local A 0.066031
> NOERROR host0635.test.local A 0.066603
> NOERROR host0651.test.local A 0.059154
> NOERROR host0658.test.local A 0.055394
> NOERROR host0650.test.local A 0.059768
> NOERROR host0654.test.local A 0.056936
> NOERROR host0664.test.local A 0.053966
> NOERROR host0649.test.local A 0.062943
> NOERROR host0657.test.local A 0.058910
> NOERROR host0647.test.local A 0.063605
> NOERROR host0652.test.local A 0.062671
> NOERROR host0660.test.local A 0.057810
> NOERROR host0646.test.local A 0.066095
> NOERROR host0656.test.local A 0.060675
> NOERROR host0648.test.local A 0.067585
> NOERROR host0662.test.local A 0.059671
> NOERROR host0659.test.local A 0.061105
> NOERROR host0655.test.local A 0.064768
> NOERROR host0672.test.local A 0.057541
> NOERROR host0668.test.local A 0.059532
> NOERROR host0673.test.local A 0.057839
> NOERROR host0666.test.local A 0.060473
> NOERROR host0671.test.local A 0.059713
> NOERROR host0678.test.local A 0.056949
> NOERROR host0661.test.local A 0.064635
> NOERROR host0670.test.local A 0.062595
> NOERROR host0679.test.local A 0.058837
> NOERROR host0681.test.local A 0.056575
> NOERROR host0677.test.local A 0.059996
> NOERROR host0676.test.local A 0.060613
> NOERROR host0665.test.local A 0.066117
